Date,AMZN Closing Price,AMZN Daily Percent Return,,
12/31/04,44.29,,,
1/3/05,44.52,0.52,,
1/4/05,42.14,-5.35,,
1/5/05,41.77,-0.88,,
1/6/05,41.05,-1.72,,
1/7/05,42.32,3.09,,
1/10/05,41.84,-1.13,,
1/11/05,41.64,-0.48,,
1/12/05,42.30,1.59,,
1/13/05,42.60,0.71,,
1/14/05,44.55,4.58,,
1/18/05,44.58,0.07,,
1/19/05,43.96,-1.39,,
1/20/05,42.36,-3.64,,
1/21/05,41.16,-2.83,,
1/24/05,40.38,-1.90,,
1/25/05,40.94,1.39,,
1/26/05,41.34,0.98,,
1/27/05,42.31,2.35,,
1/28/05,42.22,-0.21,,
1/31/05,43.22,2.37,,
2/1/05,42.48,-1.71,,
2/2/05,41.88,-1.41,,
2/3/05,35.75,-14.64,,
2/4/05,35.72,-0.08,,
2/7/05,35.69,-0.08,,
2/8/05,36.30,1.71,,
2/9/05,35.89,-1.13,,
2/10/05,35.78,-0.31,,
2/11/05,35.78,0.00,,
2/14/05,36.03,0.70,,
2/15/05,36.14,0.31,,
2/16/05,35.66,-1.33,,
2/17/05,35.69,0.08,,
2/18/05,35.31,-1.06,,
2/22/05,34.72,-1.67,,
2/23/05,34.14,-1.67,,
2/24/05,34.69,1.61,,
2/25/05,34.99,0.86,,
2/28/05,35.18,0.54,,
3/1/05,35.39,0.60,,
3/2/05,35.50,0.31,,
3/3/05,35.65,0.42,,
3/4/05,35.85,0.56,,
3/7/05,36.32,1.31,,
3/8/05,35.83,-1.35,,
3/9/05,35.40,-1.20,,
3/10/05,34.91,-1.38,,
3/11/05,34.75,-0.46,,
3/14/05,34.60,-0.43,,
3/15/05,34.18,-1.21,,
3/16/05,33.87,-0.91,,
3/17/05,33.97,0.30,,
3/18/05,34.16,0.56,,
3/21/05,33.67,-1.43,,
3/22/05,33.15,-1.54,,
3/23/05,33.18,0.09,,
3/24/05,32.88,-0.90,,
3/28/05,33.39,1.55,,
3/29/05,33.43,0.12,,
3/30/05,34.32,2.66,,
3/31/05,34.27,-0.15,,
4/1/05,34.01,-0.76,,
4/4/05,35.00,2.91,,
4/5/05,35.28,0.80,,
4/6/05,34.82,-1.30,,
4/7/05,34.90,0.23,,
4/8/05,34.60,-0.86,,
4/11/05,34.60,0.00,,
4/12/05,34.63,0.09,,
4/13/05,34.30,-0.95,,
4/14/05,33.97,-0.96,,
4/15/05,33.02,-2.80,,
4/18/05,33.00,-0.06,,
4/19/05,32.78,-0.67,,
4/20/05,33.25,1.43,,
4/21/05,33.73,1.44,,
4/22/05,33.04,-2.05,,
4/25/05,33.53,1.48,,
4/26/05,32.71,-2.45,,
4/27/05,31.72,-3.03,,
4/28/05,32.52,2.52,,
4/29/05,32.36,-0.49,,
5/2/05,33.10,2.29,,
5/3/05,33.21,0.33,,
5/4/05,33.96,2.26,,
5/5/05,33.96,0.00,,
5/6/05,34.52,1.65,,
5/9/05,34.64,0.35,,
5/10/05,34.23,-1.18,,
5/11/05,33.82,-1.20,,
5/12/05,33.85,0.09,,
5/13/05,33.90,0.15,,
5/16/05,34.54,1.89,,
5/17/05,34.73,0.55,,
5/18/05,35.33,1.73,,
5/19/05,35.59,0.74,,
5/20/05,35.50,-0.25,,
5/23/05,35.68,0.51,,
5/24/05,35.54,-0.39,,
5/25/05,35.25,-0.82,,
5/26/05,35.45,0.57,,
5/27/05,35.50,0.14,,
5/31/05,35.51,0.03,,
6/1/05,36.50,2.79,,
6/2/05,36.41,-0.25,,
6/3/05,35.59,-2.25,,
6/6/05,35.77,0.51,,
6/7/05,35.35,-1.17,,
6/8/05,34.83,-1.47,,
6/9/05,35.20,1.06,,
6/10/05,34.95,-0.71,,
6/13/05,34.87,-0.23,,
6/14/05,35.04,0.49,,
6/15/05,35.24,0.57,,
6/16/05,35.58,0.96,,
6/17/05,35.31,-0.76,,
6/20/05,35.69,1.08,,
6/21/05,35.38,-0.87,,
6/22/05,35.22,-0.45,,
6/23/05,35.43,0.60,,
6/24/05,35.02,-1.16,,
6/27/05,34.50,-1.48,,
6/28/05,33.71,-2.29,,
6/29/05,33.35,-1.07,,
6/30/05,33.09,-0.78,,
7/1/05,32.91,-0.54,,
7/5/05,34.08,3.56,,
7/6/05,34.06,-0.06,,
7/7/05,33.96,-0.29,,
7/8/05,34.74,2.30,,
7/11/05,35.59,2.45,,
7/12/05,36.31,2.02,,
7/13/05,36.51,0.55,,
7/14/05,37.19,1.86,,
7/15/05,37.15,-0.11,,
7/18/05,37.19,0.11,,
7/19/05,38.17,2.64,,
7/20/05,38.17,0.00,,
7/21/05,37.95,-0.58,,
7/22/05,37.95,0.00,,
7/25/05,37.95,0.00,,
7/26/05,37.74,-0.55,,
7/27/05,43.65,15.66,,
7/28/05,45.68,4.65,,
7/29/05,45.15,-1.16,,
8/1/05,44.93,-0.49,,
8/2/05,46.51,3.52,,
8/3/05,46.11,-0.86,,
8/4/05,45.46,-1.41,,
8/5/05,45.27,-0.42,,
8/8/05,45.66,0.86,,
8/9/05,45.93,0.59,,
8/10/05,44.76,-2.55,,
8/11/05,45.21,1.01,,
8/12/05,44.20,-2.23,,
8/15/05,45.04,1.90,,
8/16/05,44.27,-1.71,,
8/17/05,44.12,-0.34,,
8/18/05,43.73,-0.88,,
8/19/05,43.72,-0.02,,
8/22/05,43.77,0.11,,
8/23/05,43.42,-0.80,,
8/24/05,42.37,-2.42,,
8/25/05,42.31,-0.14,,
8/26/05,42.37,0.14,,
8/29/05,42.79,0.99,,
8/30/05,42.49,-0.70,,
8/31/05,42.70,0.49,,
9/1/05,41.84,-2.01,,
9/2/05,41.51,-0.79,,
9/6/05,43.62,5.08,,
9/7/05,43.73,0.25,,
9/8/05,42.96,-1.76,,
9/9/05,42.95,-0.02,,
9/12/05,44.50,3.61,,
9/13/05,43.93,-1.28,,
9/14/05,43.10,-1.89,,
9/15/05,42.71,-0.90,,
9/16/05,42.80,0.21,,
9/19/05,42.75,-0.12,,
9/20/05,41.87,-2.06,,
9/21/05,41.25,-1.48,,
9/22/05,42.08,2.01,,
9/23/05,42.19,0.26,,
9/26/05,43.34,2.73,,
9/27/05,43.16,-0.42,,
9/28/05,43.37,0.49,,
9/29/05,44.79,3.27,,
9/30/05,45.30,1.14,,
10/3/05,46.01,1.57,,
10/4/05,44.93,-2.35,,
10/5/05,44.49,-0.98,,
10/6/05,44.01,-1.08,,
10/7/05,43.72,-0.66,,
10/10/05,43.76,0.09,,
10/11/05,43.40,-0.82,,
10/12/05,42.55,-1.96,,
10/13/05,42.62,0.16,,
10/14/05,43.79,2.75,,
10/17/05,45.02,2.81,,
10/18/05,44.65,-0.82,,
10/19/05,45.86,2.71,,
10/20/05,45.01,-1.85,,
10/21/05,45.95,2.09,,
10/24/05,46.93,2.13,,
10/25/05,46.17,-1.62,,
10/26/05,39.75,-13.91,,
10/27/05,39.06,-1.74,,
10/28/05,38.95,-0.28,,
10/31/05,39.86,2.34,,
11/1/05,40.37,1.28,,
11/2/05,40.75,0.94,,
11/3/05,41.56,1.99,,
11/4/05,41.09,-1.13,,
11/7/05,41.39,0.73,,
11/8/05,41.95,1.35,,
11/9/05,41.40,-1.31,,
11/10/05,42.18,1.88,,
11/11/05,42.68,1.19,,
11/14/05,42.53,-0.35,,
11/15/05,44.45,4.51,,
11/16/05,45.30,1.91,,
11/17/05,46.74,3.18,,
11/18/05,47.98,2.65,,
11/21/05,47.99,0.02,,
11/22/05,48.85,1.79,,
11/23/05,48.24,-1.25,,
11/25/05,48.06,-0.37,,
11/28/05,48.35,0.60,,
11/29/05,48.55,0.41,,
11/30/05,48.46,-0.19,,
12/1/05,49.00,1.11,,
12/2/05,49.06,0.12,,
12/5/05,48.83,-0.47,,
12/6/05,49.26,0.88,,
12/7/05,48.83,-0.87,,
12/8/05,48.35,-0.98,,
12/9/05,48.74,0.81,,
12/12/05,49.07,0.68,,
12/13/05,49.50,0.88,,
12/14/05,49.41,-0.18,,
12/15/05,49.48,0.14,,
